PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Quinton Ganther, RB",WSH,9,10,99,11.0,0,42,1,12.4,0,116,4
"Ronnie Brown, RB",MIA,14,20,98,7.0,0,27,1,10.9,0,82,5
"Greg Lewis, WR",MIN,8,11,96,12.0,1,32,2,7.4,0,36,3
"Kenneth Darby, RB",STL,18,24,96,5.3,0,13,0,6.0,0,112,6
"Gary Russell, RB",OAK,12,15,96,8.0,0,20,1,8.0,0,101,6
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Kevin Ogletree, WR",DAL,7,8,96,13.7,0,21,1,8.7,0,72,5
"Billy Bajema, TE",STL,8,11,94,11.8,0,27,1,5.9,0,44,4
"Arian Foster, RB",HOU,8,9,93,11.6,0,20,1,15.5,1,77,4
"Todd Watkins, WR",OAK,8,19,90,11.3,0,28,1,6.9,0,15,4
"Jason Hill, WR",SF,9,17,90,10.0,2,30,1,8.2,0,57,6
"Jamal Lewis, RB",CLE,8,11,88,11.0,0,19,0,9.8,0,73,5
"Danny Woodhead, RB",NYJ,8,14,87,10.9,0,24,1,8.7,0,45,4
"Willis McGahee, RB",BAL,15,22,85,5.7,2,14,0,5.3,0,109,5
"Aaron Brown, RB",DET,9,15,84,9.3,1,26,1,5.6,0,83,5
"LaRod Stephens-Howling, RB",ARI,10,18,83,8.3,1,15,0,5.2,1,63,3
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Ahmard Hall, FB",TEN,12,16,79,6.6,0,15,0,4.9,1,74,3
"Mike Cox, FB",KC,10,13,79,7.9,0,19,0,4.9,0,57,3
"Tony Stewart, TE",OAK,10,15,78,7.8,0,19,0,5.2,0,44,4
"Kevin Curtis, WR",PHI,6,15,77,12.8,0,19,0,25.7,0,18,5
"Larry Johnson, RB",CIN/KC,12,17,76,6.3,0,22,1,10.9,0,81,4
"Glen Coffee, RB",SF,11,18,76,6.9,0,12,0,5.4,0,102,2
"Kellen Davis, TE",CHI,9,13,75,8.3,3,18,0,4.7,0,19,5
"Chris Brown, RB",HOU,16,21,74,4.6,0,12,0,5.3,0,66,1
"Jared Cook, TE",TEN,9,15,74,8.2,0,17,0,5.3,0,40,5
"Steve Heiden, TE",CLE,10,17,73,7.3,1,14,0,10.4,1,19,3
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Jimmy Kleinsasser, TE",MIN,10,16,70,7.0,0,21,1,4.4,0,27,3
"Heath Evans, FB",NO,10,13,70,7.0,2,13,0,11.7,0,84,5
