PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Spencer Larsen, FB",DEN,5,5,51,10.2,1,29,1,4.6,0,42,3
"Laurence Maroney, RB",DEN,4,7,50,12.5,0,28,1,12.5,0,52,2
"Marion Barber, RB",DAL,11,15,49,4.5,0,15,0,3.8,0,76,1
"Greg Jones, RB",JAX,11,11,47,4.3,0,12,0,2.9,0,43,2
"Terrence Austin, WR",WSH,3,5,47,15.7,0,28,1,9.4,0,11,3
"Jim Dray, TE",ARI,3,9,47,15.7,0,24,1,2.9,0,24,3
"David Johnson, TE",PIT,4,6,46,11.5,0,25,1,2.9,0,32,2
"James Davis, RB",CLE/WSH,4,5,45,11.3,0,28,1,15.0,0,56,1
"Aaron Brown, RB",DET,8,13,45,5.6,0,10,0,7.5,0,24,3
"Brad Smith, WR",NYJ,4,7,44,11.0,0,23,1,2.8,0,11,2
"Javon Ringer, RB",TEN,7,8,44,6.3,0,9,0,2.8,0,22,2
"Mickey Shuler, TE",MIA,2,5,44,22.0,0,28,1,7.3,0,13,2
"Brandon Manumaleuna, TE",CHI,5,7,43,8.6,1,16,0,2.7,0,28,4
"David Martin, TE",BUF,7,9,43,6.1,1,15,0,2.7,0,19,3
"Jerramy Stevens, TE",TB,3,5,43,14.3,0,22,1,8.6,0,12,2
"Jerome Harrison, RB",CLE/PHI,8,9,43,5.4,0,15,0,5.4,0,37,1
"Tim Castille, RB",KC,10,12,43,4.3,0,14,0,4.3,0,50,3
"Reggie Kelly, TE",CIN,10,13,42,4.2,0,9,0,2.6,0,26,0
"Jason Wright, RB",ARI,8,17,42,5.3,0,9,0,2.8,0,32,1
"Jerome Harrison, RB",CLE/PHI,4,4,42,10.5,0,23,1,10.5,0,45,1
"Preston Parker, WR",TB,4,10,42,10.5,0,21,1,4.7,0,32,3
"Heath Evans, FB",NO,7,11,41,5.9,1,18,0,2.6,0,38,4
"Taylor Price, WR",NE,3,4,41,13.7,0,18,0,41.0,0,0,3
"Stephen Spach, TE",ARI,7,17,40,5.7,0,14,0,2.7,0,21,3
"Dwayne Jarrett, WR",CAR,2,5,40,20.0,0,21,1,13.3,0,4,2
"Chaz Schilens, WR",OAK,5,9,40,8.0,1,11,0,8.0,0,12,4
"Nick Miller, WR",OAK,3,4,40,13.3,0,32,1,4.4,0,3,1
"Brandon James, WR",IND,6,11,40,6.7,0,17,0,13.3,0,15,3
"Naufahu Tahi, FB",MIN,6,6,39,6.5,1,11,0,2.6,0,17,3
"Brody Eldridge, TE",IND,5,9,39,7.8,0,10,0,2.8,0,17,1
"Ryan Purvis, TE",TB,5,6,38,7.6,0,12,0,3.8,0,30,3
"Will Heller, TE",DET,4,5,37,9.3,1,13,0,2.3,0,28,1
"Michael Robinson, FB",SEA,8,13,37,4.6,0,13,0,3.4,0,41,0
"Chris Gronkowski, RB",DAL,7,14,35,5.0,1,12,0,2.5,0,30,2
"Tony Fiammetta, FB",CAR,5,10,34,6.8,0,11,0,2.4,0,22,3
"Kevin Ogletree, WR",DAL,3,7,34,11.3,0,19,0,5.7,0,7,2
"Corey McIntyre, FB",BUF,4,8,32,8.0,0,14,0,2.0,1,34,1
"Lorenzo Booker, RB",MIN,5,6,32,6.4,0,7,0,8.0,1,26,3
"Tony Richardson, FB",NYJ,5,5,31,6.2,0,14,0,1.9,0,25,1
"Jake O'Connell, TE",KC,3,4,31,10.3,0,18,0,2.1,0,23,2
"Jeff Dugan, TE",MIN,4,5,30,7.5,0,10,0,1.9,0,22,3
"Chase Coffman, TE",CIN,3,5,30,10.0,0,14,0,5.0,0,18,2
"Derrick Williams, WR",DET,3,5,30,10.0,0,17,0,4.3,0,7,1
